Bundle ID	Bundle Path	Sandbox Path
com.apple.reminders	/private/var/containers/Bundle/Application/48C7F1AA-79FC-4369-B878-4ACB824A07C0/Reminders.app	/private/var/mobile/Containers/Data/Application/82642679-08CE-4E41-A48F-F4FDE60738BA
com.apple.mobilenotes	/private/var/containers/Bundle/Application/B76800DC-E690-4195-AA5C-FF6AFF3601EB/MobileNotes.app	/private/var/mobile/Containers/Data/Application/C66B36C2-65CF-49B4-93AD-646476311AA9
com.apple.facetime	/private/var/containers/Bundle/Application/5958A65C-7FC2-4246-82AC-C4861F60F262/FaceTime.app	/private/var/mobile/Containers/Data/Application/E80CD3BD-F005-4FA5-B94B-C96BB4A2C0BF
com.apple.MobileStore	/private/var/containers/Bundle/Application/4A5E7C19-D3BC-4045-8A27-A21CB9B33009/MobileStore.app	/private/var/mobile/Containers/Data/Application/BF82AB5A-AF92-4FAA-8267-D1263246E26D
com.apple.mobilecal	/private/var/containers/Bundle/Application/2C446020-076E-41D9-9FC5-BFA086263658/MobileCal.app	/private/var/mobile/Containers/Data/Application/4FD0FC36-A480-478D-A4A2-1C0B302375FA
com.apple.VoiceMemos	/private/var/containers/Bundle/Application/317A047B-A980-4F3D-BF8B-B92207C1CB92/VoiceMemos.app	/private/var/mobile/Containers/Data/Application/4ABF0F08-5BD0-4D42-9B6D-935A82D6A135
com.apple.DocumentsApp	/private/var/containers/Bundle/Application/F5290BB0-814D-41AA-AFF5-A8EA6D66E5C4/Files.app	/private/var/mobile/Containers/Data/Application/8F5551D7-B46E-4DDA-AD6D-25C6414E6495
com.apple.MobileAddressBook	/private/var/containers/Bundle/Application/6880A73B-C086-4F4D-A937-43CD3103F492/Contacts.app	/private/var/mobile/Containers/Data/Application/E2701F6D-9B61-4704-80D6-29633D8AAEE2
com.apple.Music	/private/var/containers/Bundle/Application/FCF115D7-A4B9-4CDF-B666-533DCF629BBC/Music.app	/private/var/mobile/Containers/Data/Application/FE8AA5F4-B9FE-429C-8304-86BC2C13EC49
com.apple.Translate	/private/var/containers/Bundle/Application/8AA3F726-A607-4EFE-8E41-7EDA6873A10A/SequoiaTranslator.app	/private/var/mobile/Containers/Data/Application/582C525A-61E3-48C4-83CE-FD83F80E7CB2
com.apple.shortcuts	/private/var/containers/Bundle/Application/A7C404B9-FE3B-4E2E-9B6C-8DF94425CAFB/Shortcuts.app	/private/var/mobile/Containers/Data/Application/ECF1A608-30C0-4380-B6C8-D0B7414BC402
com.apple.tips	/private/var/containers/Bundle/Application/33F8D232-DF55-4302-8B2D-1AC708298D67/Tips.app	/private/var/mobile/Containers/Data/Application/C8230ACB-4DBF-4322-8C3D-DC2385F16754
com.apple.weather	/private/var/containers/Bundle/Application/9D90FBD3-8F83-4B0F-A613-EA3F68A6F3A3/Weather.app	/private/var/mobile/Containers/Data/Application/775A6E5E-9026-4C6E-B32D-B229E27B9771
com.apple.Bridge	/private/var/containers/Bundle/Application/FD55EF9C-B3EF-4E7F-A392-808B19760B95/Bridge.app	
com.apple.Maps	/private/var/containers/Bundle/Application/84A0F136-FECF-4B0F-9A2B-D07B4C9432A4/Maps.app	/private/var/mobile/Containers/Data/Application/96F29E82-BE24-4873-A3EE-7BB8DBD04FA9
com.apple.calculator	/private/var/containers/Bundle/Application/086C0E1D-3994-4C3C-A4EC-DDEF5A1ACB40/Calculator.app	/private/var/mobile/Containers/Data/Application/A9C30210-CFD2-4DD5-92D7-2F62EF979D22
com.apple.iBooks	/private/var/containers/Bundle/Application/442EADB9-DFC0-4525-8B70-076DF9EF39DF/Books.app	/private/var/mobile/Containers/Data/Application/BD833737-FB38-47FC-A98D-C74F75DE976A
com.apple.measure	/private/var/containers/Bundle/Application/D3E6524B-FB71-4E9A-8E99-E93A2EF52EA6/Measure.app	/private/var/mobile/Containers/Data/Application/DF9A2BE6-15E3-4A65-9C4D-5D695EDEC9BE
com.apple.compass	/private/var/containers/Bundle/Application/2C34BBF4-2D5B-482F-A84B-6776B788E995/Compass.app	/private/var/mobile/Containers/Data/Application/308BA953-CA4D-47A7-839E-053D5CA2A513
com.apple.news	/private/var/containers/Bundle/Application/DD865346-E529-4629-98D0-4D9175480A79/News.app	/private/var/mobile/Containers/Data/Application/CD316017-2F3B-43F1-A917-2557A71B9DD4
com.apple.mobilemail	/private/var/containers/Bundle/Application/8718E9BD-F088-4549-97B8-4DF3F9C9DAAE/MobileMail.app	/private/var/mobile/Containers/Data/Application/F0A54488-2B30-4720-8314-A9F0010E71AB
com.jdtech.CalculatorVault	/private/var/containers/Bundle/Application/EE9116C8-1606-43F6-B42A-A8B2F4DC3053/Calculator.app	/private/var/mobile/Containers/Data/Application/CAA7293C-3F46-41A3-8048-456903DC2B0F
kjc.loader	/private/var/binpack/Applications/loader.app	
com.saurik.Cydia	/Applications/Cydia.app	
