Key	Values	Source
ReportedSubscriberIdentity	89610182001195906452	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
ne_config_state	False	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
meid	35670108263946	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kOperatorRoamingInfo_Subscriber_Mnc	01	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
imeis	[{'second': '356701082639462', 'first': '1:kOne'}]	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kCarrierSpaceLastRefreshStatusKey	6000	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kLastUploadTimestamp	2023-07-09 08:45:14.542985	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
user_default_voice_slot	1:kOne	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kOperatorRoamingInfo_Subscriber_CarrierBundleID	com.apple.Telstra_au	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kPostponementActivationPushTokenRegRetryCount	0	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kAllowsMultiplePDNConnectionsToSameAPNConfiguration	{'AllowsMultiplePDNConnectionsToSameAPN': False}	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
imei_svns	[{'second': '25', 'first': '1:kOne'}]	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kPostponementActivationPushToken	cd67ccb01bfe1c53e018ff14c62bd587b23336b80291bcf7b8bf027312c83049	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kCKUploadCount	3	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
kOperatorRoamingInfo_3GPP_NetworkMnc	01	\\?\R:\temp\private\var\wireless\Library\Preferences\com.apple.commcenter.device_specific_nobackup.plist
